name,price,category
"Картофель в сетке ~2,3 кг","Цена со скидкой за 1 шт.36,78 ₽","Овощи, фрукты, зелень, орехи"
Бананы,"Цена со скидкой за 1 кг131,99 ₽","Овощи, фрукты, зелень, орехи"
Бананы Global Village,"Цена за 1 кг185,99 ₽","Овощи, фрукты, зелень, орехи"
Мандарины,"Цена со скидкой за 1 кг99,99 ₽","Овощи, фрукты, зелень, орехи"
Морковь,"Цена за 1 кг16,50 ₽","Овощи, фрукты, зелень, орехи"
Лук репчатый,"Цена за 1 кг65,99 ₽","Овощи, фрукты, зелень, орехи"
Картофель,"Цена за 1 кг119,98 ₽","Овощи, фрукты, зелень, орехи"
Лимоны,"Цена со скидкой за 1 кг30,00 ₽","Овощи, фрукты, зелень, орехи"
Виноград белый без косточки,"Цена за 1 кг135,00 ₽","Овощи, фрукты, зелень, орехи"
Помидоры,"Цена за 1 кг125,00 ₽","Овощи, фрукты, зелень, орехи"
Яблоки Ред Делишес,"Цена за 1 кг85,00 ₽","Овощи, фрукты, зелень, орехи"
Яблоки Голден,"Цена со скидкой за 1 кг62,50 ₽","Овощи, фрукты, зелень, орехи"
Шампиньоны свежие Global Village целые,"Цена за 1 кг99,00 ₽","Овощи, фрукты, зелень, орехи"
Свекла,"Цена за 1 кг19,50 ₽","Овощи, фрукты, зелень, орехи"
Капуста Китайская,"Цена со скидкой за 1 кг95,99 ₽","Овощи, фрукты, зелень, орехи"
Салат листовой в горшочке ~150 г,"Цена со скидкой за 1 шт.49,99 ₽","Овощи, фрукты, зелень, орехи"
Шампиньоны свежие Global Village целые 400 г,"Цена со скидкой за 1 шт.179,99 ₽","Овощи, фрукты, зелень, орехи"
Помидоры красные Global Village Черри мелкие 250 г,"Цена со скидкой за 1 шт.109,99 ₽","Овощи, фрукты, зелень, орехи"
Апельсины,"Цена со скидкой за 1 кг107,99 ₽","Овощи, фрукты, зелень, орехи"
Перец сладкий красный,"Цена за 1 кг190,00 ₽","Овощи, фрукты, зелень, орехи"
Чеснок,"Цена со скидкой за 1 кг40,00 ₽","Овощи, фрукты, зелень, орехи"
Салат Айсберг,"Цена за 1 кг120,00 ₽","Овощи, фрукты, зелень, орехи"
Яблоки Гренни Смит,"Цена со скидкой за 1 кг70,00 ₽","Овощи, фрукты, зелень, орехи"
Набор зелени Global Village Ассорти 70 г,"Цена со скидкой за 1 шт.79,99 ₽","Овощи, фрукты, зелень, орехи"
Помидоры сливовидные Фламенко,"Цена за 1 кг190,00 ₽","Овощи, фрукты, зелень, орехи"
